OutgoingOrderID, IncomingOrderID, ProductID , ImportPrice , RetailPrice , OrderStatus , SupplierID, OrderDate 

O0001          , 0              , P0001     , 0           , 5.50        , -20         , 0         , 12/11/2024
O0002          , 0              , P0002     , 0           , 4.00        , -50         , 0         , 01/12/2024
0              , I0001          , P0003     , 10.50       , 0           , +100        , S0003     , 13/11/2024
0              , I0002          , P0004     , 2.50        , 0           , +100        , S0004     , 12/11/2024
0              , I0003          , P0005     , 4.50        , 0           , +100        , S0005     , 13/11/2024
O0003          , 0              , P0006     , 0           , 17.50       , -30         , 0         , 14/12/2024
0              , I0004          , P0007     , 3.50        , 0           , +100        , S0007     , 14/12/2024
0              , I0005          , P0008     , 8.50        , 0           , +200        , S0003     , 13/12/2024
0              , I0006          , P0009     , 4.50        , 0           , +50         , S0003     , 17/12/2024
O0004          , 0              , P0010     , 0           , 4.80        , -40         , 0         , 18/12/2024
0              , I0007          , P0011     , 5.50        , 0           , +100        , S0006     , 18/12/2024
0              , I0008          , P0012     , 45.50       , 0           , +50         , S0008     , 18/12/2024
0              , I0009          , P0013     , 25.50       , 0           , +50         , S0008     , 18/12/2024
O0005          , 0              , P0014     , 0           , 6.80        , -25         , 0         , 16/12/2024
O0006          , 0              , P0015     , 0           , 13.00       , -20         , 0         , 17/12/2024
O0007          , 0              , P0016     , 0           , 11.00       , -15         , 0         , 17/12/2024
0              , I0010          , P0017     , 5.50        , 0           , +30         , S0009     , 19/12/2024
O0008          , 0              , P0018     , 0           , 7.00        , -75         , 0         , 21/11/2024
0              , I0011          , P0019     , 0           , 4.50        , +100        , S0003     , 21/11/2024
0              , I0012          , P0020     , 0           , 5.20        , +200        , S0010     , 02/12/2024
0              , I0013          , P0001     , 4.5         , 0           , +100        , S0001     , 27/12/2024
